fila_excel,pedido_id,barrio,error
1197,2947,Recoger en Tienda,barrio no encontrado
1199,2949,Recoger en Tienda,barrio no encontrado
1205,2954,Recoger en Tienda,barrio no encontrado
1206,2955,Recoger en Tienda,barrio no encontrado
1207,2956,Recoger en Tienda,barrio no encontrado
1211,2960,Recoger en Tienda,barrio no encontrado
1213,2962,Recoger en Tienda,barrio no encontrado
1214,2963,Recoger en Tienda,barrio no encontrado
1215,2964,Recoger en Tienda,barrio no encontrado
1218,2965,Recoger en Tienda,barrio no encontrado
1221,2968,Recoger en Tienda,barrio no encontrado
1224,2970,Recoger en Tienda,barrio no encontrado
1225,2971,Recoger en Tienda,barrio no encontrado
1240,2985,Recoger en Tienda,barrio no encontrado
1242,2987,Recoger en Tienda,barrio no encontrado
1244,2989,Recoger en Tienda,barrio no encontrado
1245,2990,Recoger en Tienda,barrio no encontrado
1252,2997,Recoger en Tienda,barrio no encontrado
1254,2999,Recoger en Tienda,barrio no encontrado
1257,3001,Recoger en Tienda,barrio no encontrado
1261,3005,Recoger en Tienda,barrio no encontrado
1262,3006,Recoger en Tienda,barrio no encontrado
1263,3007,Recoger en Tienda,barrio no encontrado
1270,3014,Recoger en Tienda,barrio no encontrado
1272,3016,umarejo - soledad,barrio no encontrado
1275,3018,Recoger en Tienda,barrio no encontrado
1279,3021,Recoger en Tienda,barrio no encontrado
1281,3023,Recoger en Tienda,barrio no encontrado
1285,3027,Recoger en Tienda,barrio no encontrado
1287,3029,Recoger en Tienda,barrio no encontrado
1288,3030,Recoger en Tienda,barrio no encontrado
1289,3031,Recoger en Tienda,barrio no encontrado
1290,3032,Recoger en Tienda,barrio no encontrado
1291,3033,Recoger en Tienda,barrio no encontrado
1292,3034,Recoger en Tienda,barrio no encontrado
1299,3041,Recoger en Tienda,barrio no encontrado
1300,3042,Recoger en Tienda,barrio no encontrado
1301,3043,Recoger en Tienda,barrio no encontrado
1302,3044,Recoger en Tienda,barrio no encontrado
1303,3045,Recoger en Tienda,barrio no encontrado
1305,3046,Recoger en Tienda,barrio no encontrado
1306,3047,Recoger en Tienda,barrio no encontrado
1307,3048,Recoger en Tienda,barrio no encontrado
1309,3050,Recoger en Tienda,barrio no encontrado
1310,3051,Recoger en Tienda,barrio no encontrado
1315,3055,Recoger en Tienda,barrio no encontrado
1316,3056,Ciudad Jardín Modelo,barrio no encontrado
1317,3057,Recoger en Tienda,barrio no encontrado
1318,3058,Recoger en Tienda,barrio no encontrado
1319,3059,Recoger en Tienda,barrio no encontrado
1321,3061,Ciudad Jardín Modelo,barrio no encontrado
1322,3062,Recoger en Tienda,barrio no encontrado
1323,3063,Recoger en Tienda,barrio no encontrado
1324,3064,Recoger en Tienda,barrio no encontrado
1326,3066,Recoger en Tienda,barrio no encontrado
1332,3069,Ciudad Jardín Modelo,barrio no encontrado
1333,3070,Recoger en Tienda,barrio no encontrado
1336,3073,Recoger en Tienda,barrio no encontrado
1338,3075,Recoger en Tienda,barrio no encontrado
1340,3077,Recoger en Tienda,barrio no encontrado
1344,3080,Recoger en Tienda,barrio no encontrado
1347,3083,Recoger en Tienda,barrio no encontrado
1350,3086,Recoger en Tienda,barrio no encontrado
1360,3095,Recoger en Tienda,barrio no encontrado
1361,3096,Recoger en Tienda,barrio no encontrado
1362,3097,Recoger en Tienda,barrio no encontrado
1363,3098,Recoger en Tienda,barrio no encontrado
1364,3099,Recoger en Tienda,barrio no encontrado
1373,3107,Recoger en Tienda,barrio no encontrado
1377,3110,Recoger en Tienda,barrio no encontrado
1378,3111,Recoger en Tienda,barrio no encontrado
1380,3112,Recoger en Tienda,barrio no encontrado
1381,3113,Recoger en Tienda,barrio no encontrado
1382,3114,Recoger en Tienda,barrio no encontrado
1384,3116,Recoger en Tienda,barrio no encontrado
1386,3118,Recoger en Tienda,barrio no encontrado
1387,3119,Recoger en Tienda,barrio no encontrado
1388,3120,Recoger en Tienda,barrio no encontrado
1395,3127,Ciudad Jardín Modelo,barrio no encontrado
1399,3130,Recoger en Tienda,barrio no encontrado
1404,3133,Recoger en Tienda,barrio no encontrado
1405,3134,Recoger en Tienda,barrio no encontrado
1407,3136,Recoger en Tienda,barrio no encontrado
1410,3138,Recoger en Tienda,barrio no encontrado
1411,3139,Recoger en Tienda,barrio no encontrado
1418,3144,Recoger en Tienda,barrio no encontrado
1423,3149,Recoger en Tienda,barrio no encontrado
1428,3154,Recoger en Tienda,barrio no encontrado
1429,3155,Recoger en Tienda,barrio no encontrado
1431,3157,Ciudad Jardín Modelo,barrio no encontrado
1452,3176,Recoger en Tienda,barrio no encontrado
1454,3178,Recoger en Tienda,barrio no encontrado
1457,3181,Recoger en Tienda,barrio no encontrado
1459,3183,Recoger en Tienda,barrio no encontrado
1464,3187,Recoger en Tienda,barrio no encontrado
1465,3188,Recoger en Tienda,barrio no encontrado
1472,3194,Ciudad Jardín Modelo,barrio no encontrado
1474,3196,Recoger en Tienda,barrio no encontrado
1481,3201,Recoger en Tienda,barrio no encontrado
1482,3202,Recoger en Tienda,barrio no encontrado
1487,3207,Recoger en Tienda,barrio no encontrado
1488,3208,Recoger en Tienda,barrio no encontrado
1492,3212,Recoger en Tienda,barrio no encontrado
1493,3213,Recoger en Tienda,barrio no encontrado
1496,3215,Recoger en Tienda,barrio no encontrado
1505,3222,Recoger en Tienda,barrio no encontrado
1511,3227,Recoger en Tienda,barrio no encontrado
1512,3228,Ciudad Jardín Modelo,barrio no encontrado
1516,3231,Recoger en Tienda,barrio no encontrado
1519,3233,Recoger en Tienda,barrio no encontrado
1529,3241,Recoger en Tienda,barrio no encontrado
1531,3243,Recoger en Tienda,barrio no encontrado
1536,3248,Recoger en Tienda,barrio no encontrado
1537,3249,Ciudad Jardín Modelo,barrio no encontrado
1548,3259,Recoger en Tienda,barrio no encontrado
1559,3266,Recoger en Tienda,barrio no encontrado
1562,3268,puerto dorada,barrio no encontrado
1567,3271,Recoger en Tienda,barrio no encontrado
1568,3272,Recoger en Tienda,barrio no encontrado
1569,3273,Recoger en Tienda,barrio no encontrado
1571,3275,Recoger en Tienda,barrio no encontrado
1577,3281,Recoger en Tienda,barrio no encontrado
1580,3284,Recoger en Tienda,barrio no encontrado
1581,3285,Recoger en Tienda,barrio no encontrado
1582,3286,Recoger en Tienda,barrio no encontrado
1586,3290,Recoger en Tienda,barrio no encontrado
1587,3291,Recoger en Tienda,barrio no encontrado
1589,3292,Recoger en Tienda,barrio no encontrado
1590,3293,Recoger en Tienda,barrio no encontrado
1594,3297,Recoger en Tienda,barrio no encontrado
1595,3298,Recoger en Tienda,barrio no encontrado
1600,3303,Ciudad Jardín Modelo,barrio no encontrado
1602,3305,Recoger en Tienda,barrio no encontrado
1608,3310,Recoger en Tienda,barrio no encontrado
1615,3316,Recoger en Tienda,barrio no encontrado
1617,3317,Recoger en Tienda,barrio no encontrado
1618,3318,Recoger en Tienda,barrio no encontrado
1619,3319,Recoger en Tienda,barrio no encontrado
1621,3320,Recoger en Tienda,barrio no encontrado
1623,3322,Recoger en Tienda,barrio no encontrado
